customer_id,Number_of_transactions,Number of Products,amount_spent,Approved,Cancelled,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,year_of_birth,cutomer_age,address,postcode,state,country,property_valuation
1,11,11,9084.45,11,0,Laraine,Medendorp,Female,93,1953-10-12,Executive Secretary,Health,Mass Customer,N,Yes,11.0,1953,64,060 Morning Avenue,2016,New South Wales,Australia,10
100,2,2,2748.2,2,0,Tripp,Steed,Male,80,1968-05-11,General Manager,Financial Services,Mass Customer,N,Yes,4.0,1968,49,8722 Summit Alley,2065,New South Wales,Australia,12
1003,9,7,9111.19,9,0,Mariann,O'Geaney,Female,35,1968-02-03,Paralegal,Financial Services,High Net Worth,N,No,18.0,1968,49,610 Lakewood Gardens Point,4078,Queensland,Australia,7
1004,6,6,8437.87,6,0,Colas,Pumfrett,Male,35,1975-07-09,Business Systems Development Analyst,IT,High Net Worth,N,No,22.0,1975,42,61 Lukken Plaza,3182,Victoria,Australia,6
1005,5,5,7863.76,5,0,Kalila,Birtwistle,Female,94,1967-09-15,Design Engineer,IT,High Net Worth,N,Yes,8.0,1967,50,67 Holmberg Way,2165,New South Wales,Australia,9
1006,8,8,9481.25,8,0,Norbert,Gotcher,Male,15,1977-08-10,Quality Control Specialist,Telecommunications,Affluent Customer,N,Yes,19.0,1977,40,3383 Fair Oaks Circle,3046,Victoria,Australia,8
1009,5,5,5787.36,5,0,Nolie,Orring,Female,16,1957-05-09,Research Associate,Manufacturing,High Net Worth,N,Yes,13.0,1957,60,05 Loftsgordon Pass,4380,Queensland,Australia,9
101,4,4,4309.82,4,0,Goran,Kwietek,Male,83,1975-12-29,Nurse Practicioner,Manufacturing,High Net Worth,N,No,11.0,1975,42,9554 Artisan Pass,2150,New South Wales,Australia,10
1010,4,4,2816.75,4,0,Leighton,Ebbles,Male,24,1963-01-26,Nurse,Financial Services,Affluent Customer,N,No,17.0,1963,54,570 Butternut Pass,2340,New South Wales,Australia,4
1011,3,3,3940.18,3,0,Cymbre,Janos,Female,42,1985-07-19,Occupational Therapist,Health,High Net Worth,N,Yes,10.0,1985,32,63 Grayhawk Pass,2769,New South Wales,Australia,9
1013,6,6,7207.57,6,0,Corissa,Zienkiewicz,Female,53,1976-09-06,Physical Therapy Assistant,Retail,High Net Worth,N,No,17.0,1976,41,495 Elmside Drive,2179,New South Wales,Australia,8
1014,7,7,6269.75,7,0,Miller,Faloon,Male,60,1960-10-14,Senior Developer,Property,Mass Customer,N,Yes,8.0,1960,57,9 Macpherson Avenue,2527,New South Wales,Australia,8
1016,6,6,5697.8,6,0,Adrian,Prettyjohns,Male,0,1959-08-12,Legal Assistant,IT,Mass Customer,N,Yes,17.0,1959,58,5 Sheridan Circle,3934,Victoria,Australia,11
1017,3,3,5234.68,3,0,Jacquenette,Pluthero,Female,88,1979-01-09,Assistant Media Planner,Entertainment,High Net Worth,N,No,16.0,1979,38,42 Lunder Drive,2027,New South Wales,Australia,11
1018,5,4,6164.88,5,0,Matthiew,Ferreras,Male,1,1994-11-27,Help Desk Operator,Manufacturing,Mass Customer,N,Yes,7.0,1994,23,3 Hayes Court,3109,Victoria,Australia,10
1019,5,5,5805.35,4,1,Ignazio,Milby,Male,42,1973-11-19,Human Resources Assistant II,Manufacturing,Mass Customer,N,Yes,14.0,1973,44,711 Sachtjen Point,2540,New South Wales,Australia,8
102,7,7,6659.22,7,0,Langsdon,Tranfield,Male,51,1956-11-27,Quality Control Specialist,Manufacturing,Affluent Customer,N,No,16.0,1956,61,55850 Butterfield Road,2168,New South Wales,Australia,9
1021,8,8,9624.45,8,0,Elvis,Rixon,Male,16,1977-10-02,Mechanical Systems Engineer,Retail,High Net Worth,N,No,7.0,1977,40,0996 Cody Terrace,2761,New South Wales,Australia,8
1022,5,5,8161.4,5,0,Suzann,Wilks,Female,56,1990-03-04,Assistant Manager,Financial Services,Affluent Customer,N,Yes,14.0,1990,27,80424 Corben Alley,2136,New South Wales,Australia,10
1025,8,7,8141.29,8,0,Ario,Jeromson,Male,69,1997-07-30,Quality Engineer,IT,Mass Customer,N,Yes,5.0,1997,20,4885 Stone Corner Alley,3046,Victoria,Australia,8
1027,6,5,6580.15,6,0,Rolando,Sherewood,Male,33,1966-10-07,Statistician I,Financial Services,Affluent Customer,N,No,18.0,1966,51,5287 Wayridge Alley,2069,New South Wales,Australia,12
103,5,5,4909.84,5,0,Ethyl,Runham,Female,49,1997-04-21,Product Engineer,Financial Services,Affluent Customer,N,Yes,4.0,1997,20,68 Little Fleur Crossing,2046,New South Wales,Australia,12
1030,8,7,10951.8,8,0,Nariko,Dummigan,Female,9,1962-05-05,Food Chemist,Health,Mass Customer,N,No,5.0,1962,55,4870 Shelley Alley,3225,Victoria,Australia,7
1031,3,3,2352.9300000000003,2,1,Roi,Ogden,Male,75,1983-09-15,Junior Executive,Manufacturing,Mass Customer,N,No,6.0,1983,34,65634 Del Mar Crossing,4053,Queensland,Australia,7
